1,Damien Chazelle,2009,2021
2,Michel Hazanavicius,1992,2022
3,Alfonso Cuarón,1983,2018
4,Alejandro G. Iñárritu,1995,2018
5,Tom Hooper,1992,2019
6,Kathryn Bigelow,1987,2018
7,Guillermo del Toro,1986,2021
8,Bong Joon Ho,1994,2019
9,Ang Lee,1980,2019
10,Steven Spielberg,1959,2021
